Device abbr,atr_use,rhic_use,slot,ags_use,booster_use,linac_use,ebis_use,other,Description,Notes,New Device,EIC Lattice Keyword
1int,0,1,1,0,0,0,0,0,interconnect # 1,,FALSE,
2int,0,1,1,0,0,0,0,0,interconnect # 2,,FALSE,
2qh,0,0,0,0,1,0,0,0,horiz half-integer stopband quad string,,FALSE,
2qv,0,0,0,0,1,0,0,0,vert half-integer stopband quad string,,FALSE,
3int,0,1,1,0,0,0,0,0,interconnect # 3,,FALSE,
3sxh,0,0,0,0,1,0,0,0,horiz 3rd-integer stopband sextipole string,,FALSE,
3sxsh,0,0,0,0,1,0,0,0,horiz 3rd-integer stopband sqew sextipole string,,FALSE,
3sxsv,0,0,0,0,1,0,0,0,vert 3rd-integer stopband sqew sextipole string,,FALSE,
3sxv,0,0,0,0,1,0,0,0,vert 3rd-integer stopband sextipole string,,FALSE,
4int,0,1,1,0,0,0,0,0,interconnect # 4,,FALSE,
5int,0,1,1,0,0,0,0,0,interconnect # 5,,FALSE,
6int,0,1,1,0,0,0,0,0,interconnect # 6,,FALSE,
7int,0,1,1,0,0,0,0,0,interconnect # 7,,FALSE,
8int,0,1,1,0,0,0,0,0,interconnect # 8,,FALSE,
9sxh,0,0,0,0,1,0,0,0,horiz 9th-integer stopband sextipole string,,FALSE,
9sxsv,0,0,0,0,1,0,0,0,vert 9th-integer stopband sqew sextipole string,,FALSE,
9sxv,0,0,0,0,1,0,0,0,vert 9th-integer stopband sextipole string,,FALSE,
as,0,1,0,0,0,0,0,0,PASS oxygen sensor,,FALSE,
av,1,1,0,0,0,0,0,0,PASS air intake,,FALSE,
b,1,1,0,0,0,0,0,0,beam position monitor (both planes),,FALSE,BPM
bb,0,1,0,0,0,0,0,0,button beam position monitor (dual plane),,FALSE,
bblr,0,1,0,0,0,0,0,0,moveable wire for Wolfram's long range beam-beam compensation experiment,,FALSE,
bcb,1,0,0,0,0,0,0,0,big coil bottom (atr dipoles),,FALSE,
bct,1,0,0,0,0,0,0,0,big coil top (atr dipoles),,FALSE,
bd,0,1,0,0,0,0,0,0,vacuum burst diaphragm,,FALSE,
bh,1,1,0,0,0,0,0,0,horizontal beam position monitor,,FALSE,HMONITOR
bht,0,1,0,0,0,0,0,0,beam headtail monitor with skew striplines (45 degrees to usual orientation),,FALSE,
blw,0,0,0,1,0,0,0,0,backleg winding,,FALSE,
bqm,0,1,0,0,0,0,0,0,beam quadrupole moment monitor (variation on a bpm) stripline pickup,,FALSE,
bs,0,0,0,0,0,0,0,0,beam stop,,FALSE,
btun,0,1,0,0,0,0,0,0,resonant tune monitor (variation on a bpm),,FALSE,
bv,1,1,0,0,0,0,0,0,vertical beam position monitor,,FALSE,VMONITOR
c,1,1,0,0,0,0,0,0,collimator,,FALSE,
cav,0,0,0,0,0,0,0,0,RF cavity,,FALSE,RFCAVITY
