SWN Append,KEYWORD,L,S,ADJ DEG,X,Z,QUADRANT,Sextant,Sector,Design ID (WindChill)
es5-mark320,MARKER,0,0,360,-589.7716383,0,SE,5,5,
es6-dt5,DRIFT,5.3,5.3,0.514822847,-589.8140379,-5.299830401,SW,7,6,
es6-q7,QUADRUPOLE,1.8,7.1,0.689636759,-589.8284377,-7.099772801,SW,7,6,
es6-dt8,DRIFT,0.5,7.6,0.738192525,-589.8324377,-7.599756801,SW,7,6,
es6-q9,QUADRUPOLE,1.4,9,0.874139303,-589.8436375,-8.999712002,SW,7,6,
es6-dt17,DRIFT,7.75,16.75,1.626388643,-589.9056369,-16.749464,SW,7,6,
es6-dh22,RBEND,5.500091668,22.25009,2.159551907,-590.0046315,-22.24857303,SW,7,6,
es6-dt42.1,DRIFT,19.8146,42.06469,4.073318491,-590.5593678,-42.05540621,SW,7,6,
es6-q42,QUADRUPOLE,0.25,42.31469,4.097392407,-590.5663669,-42.30530822,SW,7,6,
es6-dt42.2,DRIFT,0.15,42.46469,4.111835787,-590.5705664,-42.45524942,SW,7,6,
es6-q43,QUADRUPOLE,0.6,43.06469,4.169602002,-590.5873642,-43.05501424,SW,7,6,
es6-dt47.1,DRIFT,3.5,46.56469,4.506333246,-590.6853514,-46.55364233,SW,7,6,
es6-q47,QUADRUPOLE,0.25,46.81469,4.530369549,-590.6923505,-46.80354433,SW,7,6,
es6-dt47.2,DRIFT,0.15,46.96469,4.544790292,-590.6965499,-46.95348554,SW,7,6,
es6-q48,QUADRUPOLE,0.6,47.56469,4.602465423,-590.7133477,-47.55325035,SW,7,6,
es6-dt51.1,DRIFT,3.5,51.06469,4.938648455,-590.8113349,-51.05187844,SW,7,6,
es6-q51,QUADRUPOLE,0.25,51.31469,4.962644501,-590.818334,-51.30178045,SW,7,6,
es6-dt51.2,DRIFT,0.15,51.46469,4.977041018,-590.8225334,-51.45172165,SW,7,6,
es6-q52,QUADRUPOLE,0.6,52.06469,5.034618723,-590.8393313,-52.05148647,SW,7,6,
es6-dt53,DRIFT,1.1543,53.21899,5.145350663,-590.8716474,-53.20533401,SW,7,6,
es6-dh54,RBEND,0.891400372,54.11039,5.230811697,-590.8980132,-54.096344,SW,7,6,
es6-dt55,DRIFT,1.1543,55.26469,5.34140991,-590.9339804,-55.25008351,SW,7,6,
es6-q56,QUADRUPOLE,0.25,55.51469,5.365356432,-590.9417702,-55.49996212,SW,7,6,
es6-dt56,DRIFT,0.15,55.66469,5.37972314,-590.9464442,-55.64988928,SW,7,6,
es6-q57,QUADRUPOLE,1.2,56.86469,5.494624055,-590.9838354,-56.8493066,SW,7,6,
es6-dt60.1,DRIFT,2.9,59.76469,5.772056623,-591.0741975,-59.74789844,SW,7,6,
es6-q60,QUADRUPOLE,0.25,60.01469,5.795956731,-591.0819874,-59.99777705,SW,7,6,
es6-dt60.2,DRIFT,0.15,60.16469,5.810295523,-591.0866613,-60.14770421,SW,7,6,
es6-q61,QUADRUPOLE,1.2,61.36469,5.924971262,-591.1240525,-61.34712153,SW,7,6,
es6-dt64,DRIFT,2.9,64.26469,6.201846161,-591.2144147,-64.24571337,SW,7,6,
