add naming flow chart,,,,"c=cab, r=room",,,,,,,,
Category,EIC Name,Elements Used,aa,:bb,-dd,pp,.zz,_nn,-cc,ss,Description,Figure Reference
Beamline Device or Beamline Controlling Device,es6-qf50_2,aa-ddpp_nn,es6,,qf,50,,2,,,the second focusing quadrupole 50m clockwise from ESR IP6,
,es6-qf50_2-ps,aa-ddpp_nn-cc,es6,,qf,50,,2,ps,,the supply powering the second focusing quadrupole 50m clockwise from ESR IP6,
,rcb1-qf40,aa-ddpp,rcb1,,qf,40,,,,,focusing quadrupole 40m after the start of rcs bending section 1,
,prj-q20,aa-ddpp,prj,,q,20,,,,,quadrupole 20m after the start of the preinjector,
,rte-q10,aa-ddpp,rte,,q,10,,,,,quadrupole 10m after the start of the RCS to ESR transferline,
,ltr-q5,aa-ddpp,ltr,,q,5,,,,,quadrupole 5m after the start of the linac to RCS transferline,
Tunnel Device,es6:n1-elec,aa:bb-dd,es6,n1,elec,,,,,,the 1st electrical panel on the north wall in ESR sector 6,
,es6:ew1-tra1.2-dc,aa:bb-ddpp.zz-ss,es6,ew1,tra,1,2,,,dc,"the 1st ew tray section in ESR sector 6, 1st horizontal tray, 2nd verticle tray, allocated for DC cables",
,es6:n1-cnd2.2-mac,aa:bb-ddpp.zz-ss,es6,n1,cnd,2,2,,,mac,"the 1st conduit group on the north wall in ESR sector 6,  2nd horizontal & 2nd verticle conduit, allocated for HV cables",
Equipment Cabinets Rows,1007a-cab2.4_1,aa-ddpp.zz_nn,1007a,,cab,2,4,1,,,the 2nd rack in the row located 2nd x-section and 1st y-section,
Devices within Equipment Cabinets,1007a:c2.4_1-hx,aa:bb-dd,1007a,c2.4_1,hx,,,,,,rack 1007a-cab2.4_1 heat exchanger,
,1007a:c2.4_1-pdu2,aa:bb-ddpp,1007a,c2.4_1,pdu,2,,,,,rack 1007a-cab2.4_1 second pdu,
Other Building Equipment,1007a:c2.4-tra1.2_1-dc,aa:bb-ddpp.zz_nn-ss,1007a,c2.4,tra,1,2,1,,dc,tray group above cabinet row 2.4,
,1007a:c2.4-elec2,aa:bb-ddpp,1007a,c2.4,elec,2,,,,,2nd electrical panel feeding cabinet row 2.4,
,1007a:ns1-tra1.2_1-dc,aa:bb-ddpp.zz_nn-ss,1007a,ns1,tra,1,2,1,,dc,1st tray group routing ns in the building,
,1007a:n1r3-cnd3.4-ac,aa:bb-ddpp.zz-ss,1007a,n1r3,cnd,3,4,,,ac,1st conduit group on the north wall in room3,
,1007a:s1-elec,aa:bb-dd,1007a,s1,elec,,,,,,1st electrical panel feeding cabinet row 2.1,
Beamline Model Type,esr:q_50,aa:bb_nn,,,,,,,,,esr 50cm length quadrupole,
